,MAD Average,MAD Std,q^2 Average,q^2 Std
24,0.3740854999675082,0.0607071234792111,-0.07839871642702272,0.9429722529358574
48,0.3160317430486816,0.045439947620326285,0.5199200765737944,0.2533184642716799
72,0.2908073598615174,0.01971657514308855,0.7187739530008678,0.11223116720400843
96,0.283119833785267,0.026318748602313344,0.7901306746050321,0.05749035375370831
144,0.26596978349740297,0.026683515839188907,0.8502822845506692,0.023885542333292105
192,0.26109715764688957,0.023885507736161955,0.8677603348885501,0.020204450410750748
240,0.258659735020809,0.020952160873201307,0.8728912221758675,0.011301208554404795
288,0.2572589816450141,0.020188256289338083,0.8771411427545222,0.010307598660604869
336,0.25511009365696713,0.01999810797377285,0.8801330288801511,0.0083941118084154
