,242,72,76,249,205,365,157,251,207,253,286,202,276,262,182,181,71,99,328,144,230,245,166,147,87,145,5,7,1,29,371,382,61,229,73,210,223,246
0,171.76247594710767,140.51901041662305,137.05895011502483,143.9024836446728,149.72675094090818,144.87800382850264,138.04323823775965,133.40076051189422,139.06653208179176,132.65624132494682,144.53456617865794,143.67344894067983,130.38081337315748,129.16226712816277,145.10649773766028,152.07593591950848,137.66386206775925,146.25975006258707,132.2619174652699,138.98003112621126,134.93668997534314,130.86709531133928,131.470654022532,134.6178260628878,129.92522640288828,137.62895621359394,129.90343692468946,138.69877842199654,140.29805665016275,141.69326517572244,134.22726769580484,146.14204282391216,137.87369265916672,135.06781861031442,135.81276035986977,145.64267072783872,129.82557112412775,133.1957301489191
1,167.3607113840595,140.50475117094018,140.93139683634502,147.73783530257944,148.27794156848626,142.94965984608467,133.54450587406618,138.80204840805948,139.13419980391706,132.43323182307378,144.53457452077265,143.67365203667575,133.95520662211104,132.014730695986,145.499393464931,149.30937342767803,137.66516124236193,149.15114038386974,135.77348311214675,140.95284322155504,133.83780139307802,131.18643002013357,134.22549101353786,134.7328536637808,129.9252137956322,137.6289294937378,129.90335256270228,138.65744449802082,140.29805006428273,141.6940477664393,134.22727572430625,146.1417548641477,137.87867572417355,134.942651890292,142.52693848706673,145.65032038431272,135.42320160393172,129.5748521905713
2,166.20266792548705,139.66708531094716,135.92868188421357,145.4552182041377,149.77257072730902,139.94586435861854,133.54472220454485,138.9348105294488,139.17086502889322,130.63844340378336,144.69894510299753,139.6750731680419,130.3803737499841,134.43661394277737,148.79777141509155,146.65498816785887,132.29843974528785,146.28107106518564,132.2287692884035,135.88521212797932,139.29398391655891,132.43801944425005,133.55892681878476,131.0161184723306,129.87239190157206,137.33686798047756,135.54615559370572,137.02936452292448,140.29803833514399,138.0401861527807,134.26864176228753,146.51363442098176,133.62008486890977,135.43449895983093,137.16387604222066,148.17972878562264,135.41857279654837,130.22991430263994
