,A,B,C,D,E
ESPMAX,139.14427701577404,124.65728815133467,107.03521722878227,141.85083248114256,142.38344282383233
ESPMIN,53.924282755379096,53.10411106262231,47.7155137182369,31.72390372322227,52.28337637120603
