,Train MAD,Test MAD,Train R^2,Test R^2,q^2
ASO+AEIF,0.02589603633605442,0.14055283918668254,0.9940163852240839,0.790603028378731,0.6168248748276237
SIF+EIF,0.07489970943595456,0.30563918976841725,0.9263693938551696,0.39361044940663864,-0.031225680298666156
